,ID,Source,Customer Segment,Membership Type,Membership Level,Affiliation,IsActive,Gender,Citizenship,Age,Lifetime Days,Has Linkedin,City,Country,Industry,Interviewed,Pathfinder Assigned,Customer Call Status,Languages,Completeness,Cleaned Country,Country Code,Continent Code,Longitude,Latitude,Continent
0,1,RoomMaster,Existing Room member,Founding Member,Senior Leader,ALN,checked,female,,,366.0,,,United States of America,,,,None,,55.56,United States of America,US,,-100.4458825,39.7837304,North America
1,2,RoomMaster,LP Nairobi 2018,Free Trial,Young Leader,LP Nairobi 2018,checked,female,,,214.0,,Nairobi,Kenya,,,,Completed,,61.11,Kenya,KE,AF,38.4313975,1.4419683,Africa
2,3,RoomMaster,ALU Staff,Staff Membership,Senior Leader,AL Staff,checked,male,,,214.0,,,Mauritius,Education,,,Completed,,61.11,Mauritius,MU,AF,57.5703566,-20.2759451,Africa
3,4,RoomMaster,DSLP Nairobi 2020,Free Trial,Young Leader,DSLP Nairobi 2020,checked,female,,,214.0,,,Kenya,,,,None,,55.56,Kenya,KE,AF,38.4313975,1.4419683,Africa
4,5,RoomMaster,Existing Room member,Free Trial,Young Leader,ALA Alumni,checked,female,,,214.0,,Johannesburg,South Africa,,,,None,,61.11,South Africa,ZA,AF,24.991639,-28.8166236,Africa
5,6,RoomMaster,Existing Room member,Premium Paying,Young Leader,LP Nairobi 2018,checked,male,,,214.0,checked,Nairobi,Kenya,,,checked,Completed,,72.22,Kenya,KE,AF,38.4313975,1.4419683,Africa
6,7,RoomMaster,The Room staff,Staff Membership,Young Leader,AL Staff,checked,male,,20-30,214.0,,Nairobi,Kenya,Education,,,Completed,English,77.78,Kenya,KE,AF,38.4313975,1.4419683,Africa
7,8,RoomMaster,Existing Room member,Founding Member,Senior Leader,,checked,female,,,366.0,,,United States of America,Consulting,,,None,,55.56,United States of America,US,,-100.4458825,39.7837304,North America
8,9,RoomMaster,Existing Room member,Free Trial,Young Leader,AIIP 2020,checked,female,,,214.0,,Lephalale,South Africa,,,,None,,61.11,South Africa,ZA,AF,24.991639,-28.8166236,Africa
9,10,RoomMaster,LP Nairobi 2018,Free Trial,Young Leader,LP Nairobi 2018,checked,male,,,214.0,,,Kenya,,,,None,,55.56,Kenya,KE,AF,38.4313975,1.4419683,Africa
10,11,RoomMaster,XL Lagos,Free Trial,Mid-career Leader,XL Lagos,checked,female,,,214.0,,Lagos,Nigeria,,,,None,,61.11,Nigeria,NG,AF,7.9999721,9.6000359,Africa
11,12,RoomMaster,XL Nairobi 2018,Free Trial,Mid-career Leader,XL Nairobi 2018,checked,male,,,214.0,,Nairobi,Kenya,,,,None,,61.11,Kenya,KE,AF,38.4313975,1.4419683,Africa
12,13,RoomMaster,Joined post-Sprint August,Premium Paying,Mid-career Leader,ALUSB 2016 Alumni ISA,checked,male,,,92.0,,Accra,Ghana,,,checked,,,61.11,Ghana,GH,AF,-1.0840975468820433,7.857371,Africa
13,14,RoomMaster,Existing Room member,Free Trial,Mid-career Leader,ALUSB Alumni,checked,female,,,214.0,,Johannesburg,South Africa,,,,None,,61.11,South Africa,ZA,AF,24.991639,-28.8166236,Africa
14,15,RoomMaster,XL Lagos,Free Trial,Mid-career Leader,XL Lagos,checked,female,,,214.0,,Lagos,Nigeria,,,,Completed,,61.11,Nigeria,NG,AF,7.9999721,9.6000359,Africa
15,16,RoomMaster,Existing Room member,Free Trial,Senior Leader,ALN,checked,male,,,214.0,,Johannesburg,South Africa,,,,Completed,,61.11,South Africa,ZA,AF,24.991639,-28.8166236,Africa
16,17,RoomMaster,AIIP 2018,Free Trial,Mid-career Leader,AIIP 2018,checked,male,,,214.0,,,South Africa,,,,None,,55.56,South Africa,ZA,AF,24.991639,-28.8166236,Africa
