ID,Source,Customer Segment,Membership Type,Membership Level,Affiliation,IsActive,Gender,Citizenship,Age,Lifetime Days,Has Linkedin,City,Industry,Interviewed,Pathfinder Assigned,Customer Call Status,Languages,Completeness,Country,Country Code,Continent Code,Longitude,Latitude,Continent
1,RoomMaster,Existing Room member,Founding Member,Senior Leader,ALN,checked,female,,,366.0,,,,,,None,,64.0%,United States of America,US,,-100.4458825,39.7837304,North America
2,RoomMaster,LP Nairobi 2018,Free Trial,Young Leader,LP Nairobi 2018,checked,female,,,214.0,,Nairobi,,,,Completed,,72.0%,Kenya,KE,AF,38.4313975,1.4419683,Africa
3,RoomMaster,ALU Staff,Staff Membership,Senior Leader,AL Staff,checked,male,,,214.0,,,Education,,,Completed,,72.0%,Mauritius,MU,AF,57.5703566,-20.2759451,Africa
4,RoomMaster,DSLP Nairobi 2020,Free Trial,Young Leader,DSLP Nairobi 2020,checked,female,,,214.0,,,,,,None,,68.0%,Kenya,KE,AF,38.4313975,1.4419683,Africa
5,RoomMaster,Existing Room member,Free Trial,Young Leader,ALA Alumni,checked,female,,,214.0,,Johannesburg,,,,None,,72.0%,South Africa,ZA,AF,24.991639,-28.8166236,Africa
6,RoomMaster,Existing Room member,Premium Paying,Young Leader,LP Nairobi 2018,checked,male,,,214.0,checked,Nairobi,,,checked,Completed,,80.0%,Kenya,KE,AF,38.4313975,1.4419683,Africa
7,RoomMaster,The Room staff,Staff Membership,Young Leader,AL Staff,checked,male,,20-30,214.0,,Nairobi,Education,,,Completed,English,84.0%,Kenya,KE,AF,38.4313975,1.4419683,Africa
8,RoomMaster,Existing Room member,Founding Member,Senior Leader,,checked,female,,,366.0,,,Consulting,,,None,,64.0%,United States of America,US,,-100.4458825,39.7837304,North America
9,RoomMaster,Existing Room member,Free Trial,Young Leader,AIIP 2020,checked,female,,,214.0,,Lephalale,,,,None,,72.0%,South Africa,ZA,AF,24.991639,-28.8166236,Africa
10,RoomMaster,LP Nairobi 2018,Free Trial,Young Leader,LP Nairobi 2018,checked,male,,,214.0,,,,,,None,,68.0%,Kenya,KE,AF,38.4313975,1.4419683,Africa
